date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019/6/3,147.98,151.88,147.5,151.8,147.5,2666376,401503541.2,3,2.192743,1,2.915256,0
2019/6/4,152.32,153.3,146.78,147.5,151.8,2731237,408022837.7,3,2.246083,1,-2.832676,0
2019/6/5,149.02,156.66,148.5,153.6,147.5,3428853,524613840.7,3,2.81978,1,4.135598,0
2019/6/6,152,152.03,147.6,149,153.6,3085964,463327174.7,3,2.537799,1,-2.994796,0
2019/6/10,149,153.33,149,151.68,149,1332431,201730735,3,1.095749,1,1.798653,0
2019/6/11,151.68,155.1,151.1,155.05,151.68,1996430,306452651.5,3,1.641801,1,2.22179,0
2019/6/12,154,157.5,152.85,157,155.05,1652548,256792333.3,3,1.359003,1,1.257657,0
2019/6/13,156.5,157.04,153.2,153.96,157,1903335,294056793.9,3,1.565243,1,-1.936301,0
2019/6/14,153.98,154.77,151.35,152,153.96,1783640,272262077.1,3,1.466809,1,-1.273062,0
2019/6/17,152.14,154.06,149,150.6,152,1935304,292383798.1,3,1.591533,1,-0.921049,0
2019/6/18,151.4,153.66,149.51,153.3,150.6,1638778,249440237.4,3,1.347679,1,1.792827,0
2019/6/19,156.01,156.8,153.62,154.26,153.3,1600652,248203933.5,3,1.316326,1,0.626217,0
2019/6/20,154.75,158.6,153.8,157.75,154.26,2478436,388975002.5,3,2.038188,1,2.262418,0
2019/6/21,160.16,161,156.39,157.51,157.75,3798076,601202653.4,3,3.123418,1,-0.152143,0
2019/6/24,157.95,158.54,155.18,158.33,157.51,2345532,367048890.7,3,1.928891,1,0.520606,0
2019/6/25,157.14,157.9,154.31,154.69,158.33,1820832,282654462,3,1.497395,1,-2.298995,0
2019/6/26,154.06,158.25,153.82,158.25,154.69,1830581,286672160.7,3,1.505412,1,2.301375,0
2019/6/27,158.98,163.6,157.71,162.4,158.25,2119281,342878484.1,3,1.74283,1,2.622429,0
2019/6/28,162.45,164.5,161.18,163.2,162.4,1174895,192180173.7,3,0.966197,1,0.492613,0
2019/7/1,164.51,168.6,164.51,168.55,163.2,1813319,303302565.8,3,1.491216,1,3.27819,0
2019/7/2,169.93,175.58,168.56,174,168.55,3491549,604655316.8,3,2.87134,1,3.23346,0
2019/7/3,172.9,173.99,163,165.8,174,4104687,688543846,3,3.375565,1,-4.712642,0
2019/7/4,165.59,166.75,160.01,162.59,165.8,2907231,472910763.7,3,2.390815,1,-1.936072,0
2019/7/5,162.5,165.28,161.6,164,162.59,2356249,385424148.1,3,1.937705,1,0.867214,0
2019/7/8,163.01,164.36,160.6,163,164,2035476,330330821.5,3,1.673911,1,-0.609756,0
2019/7/9,163.87,163.95,160.8,162.2,163,1056533,171181190.2,3,0.868859,1,-0.490799,0
2019/7/10,162.91,165.4,161.54,165.26,162.2,1816871,297624945.3,3,1.494137,1,1.886558,0
2019/7/11,166.51,168,162.18,162.89,165.26,2070388,341445735.8,3,1.702622,1,-1.434101,0
2019/7/12,162.25,164.66,157.99,159,162.89,2607123,419967810.2,3,2.144016,1,-2.388114,0
2019/7/15,159.99,160.47,154.88,159.07,159,2571665,404171184.4,3,2.114856,1,0.04403,0
2019/7/16,159.07,159.94,152.59,154.43,159.07,3765963,583490951.1,3,3.097009,1,-2.916964,0
2019/7/17,153.66,158.65,153.66,158,154.43,2430498,382063827.1,3,1.998765,1,2.311732,0
2019/7/18,158.11,159.9,156.3,157.21,158,1501029,237537209.9,3,1.234399,1,-0.499996,0
2019/7/19,157.77,159.6,156.4,156.6,157.21,1292819,204334310.7,3,1.063174,1,-0.388016,0
2019/7/22,157.15,159.01,153.37,156.84,156.6,1378273,216106215.1,3,1.133448,1,0.153251,0
2019/7/23,157.35,157.84,154.6,155.17,156.84,1129302,176107206.9,3,0.928702,1,-1.064778,0
2019/7/24,156.45,160.15,154.7,159,155.17,1698952,268709135,3,1.397164,1,2.468262,0
2019/7/25,158.53,163.2,157.05,163.1,159,2606414,418111063.9,3,2.143433,1,2.57862,0
2019/7/26,162,166.21,161.44,164.4,163.1,2039408,335689117.9,3,1.6771,1,0.797,0
2019/7/29,165.5,165.87,160.3,161,164.4,2192663,355604855,3,1.803177,1,-2.068123,0
2019/7/30,160.1,164.09,160.06,162.38,161,1299102,211504149.6,3,1.0683,1,0.8571,0
2019/7/31,161.15,162.59,158.3,158.9,162.38,1412818,226322693.6,3,1.1619,1,-2.1431,0
2019/8/1,158.12,160.86,156.24,157.78,158.9,1846157,291510286.8,3,1.5182,1,-0.7048,0
2019/8/2,154.99,159.33,154.3,158.6,157.78,1431674,224809392.8,3,1.1774,1,0.5197,0
2019/8/5,157.39,157.98,148.99,153.36,158.6,3654116,558253463.9,3,3.005,1,-3.3039,0
2019/8/6,150,154.86,149.21,152.81,153.36,2193415,334303821.7,3,1.8038,1,-0.3586,0
2019/8/7,153.66,157.23,153.03,155.87,152.81,1797286,279164503.9,3,1.478,1,2.0025,0
2019/8/8,157.3,161.65,155,160.15,155.87,2028565,323279364.4,3,1.6682,1,2.7459,0
2019/8/9,160.99,164.39,159.29,160.37,160.15,2747381,445242902.9,3,2.2594,1,0.1374,0
2019/8/12,160.3,162.87,160,161.03,160.37,1264275,203734933.8,3,1.0397,1,0.4116,0
2019/8/13,161.03,164.18,160.48,163.01,161.03,1674684,272347481.5,3,1.3772,1,1.2296,0
2019/8/14,165,166.48,163.03,165.08,163.01,1844864,304687870.6,3,1.5172,1,1.2699,0
2019/8/15,163.44,166.2,163,165.1,165.08,1036251,171027712,3,0.8522,1,0.0121,0
2019/8/16,166.2,168.95,165.1,166.51,165.1,1459612,244311365,3,1.2003,1,0.854,0
2019/8/19,170.34,171.77,167.65,169.3,166.51,2362484,399607014.3,3,1.9428,1,1.6756,0
2019/8/20,171.38,171.9,169,170.52,169.3,1349023,229827208.6,3,1.1094,1,0.7206,0
2019/8/21,170.52,170.98,166.72,168.49,170.52,2311554,387858926.9,3,1.9009,1,-1.1905,0
2019/8/22,168.46,170.35,167.6,170.12,168.49,1382328,234156986.5,3,1.1368,1,0.9674,0
2019/8/23,169.58,175.7,168.5,175.4,170.12,2218763,385225458.7,3,1.8246,1,3.1037,0
2019/8/26,173.5,178.5,172.8,174.99,175.4,2262320,398110913.6,3,1.8605,1,-0.2337,0
2019/8/27,176,183.46,176,182.6,174.99,2876686,521407707.4,3,2.3657,1,4.3488,0
2019/8/28,182.51,184.92,178.49,181.91,182.6,1949936,352265063.7,3,1.6036,1,-0.3779,0
2019/8/29,181,181.39,175.38,179.08,181.91,2662289,475059674.2,3,2.1894,1,-1.5557,0
2019/8/30,180,191.46,178.02,186.35,179.08,3185328,589542589.7,3,2.6195,1,4.0596,0
2019/9/2,185.99,192,185.05,189.84,186.35,1742358,330539515.8,3,1.4329,1,1.8728,0
2019/9/3,189.84,189.84,182.23,184.46,189.84,3059161,564362373.6,3,2.5158,1,-2.834,0
2019/9/4,183.48,184.77,179.9,182.86,184.46,1953311,355794357.7,3,1.6063,1,-0.8674,0
2019/9/5,183.6,185.99,180.33,182.33,182.86,2624617,480374278.2,3,2.1584,1,-0.2898,0
2019/9/6,182.3,183.83,180,183.4,182.33,1828329,333658023,3,1.5036,1,0.5868,0
2019/9/9,184.1,184.99,181.08,182.28,183.4,1817751,331634034,3,1.4949,1,-0.6107,0
2019/9/10,182.89,182.98,178.26,179.9,182.28,2196828,394855497.4,3,1.8066,1,-1.3057,0
2019/9/11,181.27,183.17,178,180.2,179.9,1408938,253452536.3,3,1.1587,1,0.1668,0
2019/9/12,180.21,180.8,178.15,180.26,180.2,1142650,205374759.4,3,0.9397,1,0.0333,0
2019/9/16,181,182.66,178.3,181.9,180.26,1573129,283945157.9,3,1.2937,1,0.9098,0
2019/9/17,181.5,185.5,180.58,181.97,181.9,1694187,310276934,3,1.3932,1,0.0385,0
2019/9/18,182.87,184.85,181.23,184.66,181.97,1930113,354346726.8,3,1.5873,1,1.4783,0
2019/9/19,185.9,186.55,182.16,184.07,184.66,1304874,239622023.7,3,1.0731,1,-0.3195,0
2019/9/20,183.53,188.39,183.17,187.16,184.07,2412229,450433514,3,1.9837,1,1.6787,0
2019/9/23,186.91,186.91,181.56,183.36,187.16,1569395,288277998.6,3,1.2906,1,-2.0304,0
2019/9/24,182.06,188.85,182,186.98,183.36,1974463,367656973.2,3,1.6237,1,1.9743,0
2019/9/25,186.15,191.1,185.63,189.83,186.98,1928606,365969036.8,3,1.586,1,1.5242,0
2019/9/26,191.16,196.6,189.03,189.88,189.83,2388844,461155479.2,3,1.9645,1,0.0263,0
2019/9/27,188.96,192.88,186.34,189.84,189.88,1785729,337990595.9,3,1.4685,1,-0.0211,0
2019/9/30,189,189,182,184.46,189.84,2051172,381423201.9,3,1.6868,1,-2.834,0
2019/10/8,182,190.48,181,183.49,184.46,2273208,423408178,3,1.8694,1,-0.5259,0
2019/10/9,182.26,187.3,172.48,175.3,183.49,4018545,708995625.6,3,3.3047,1,-4.4635,0
2019/10/10,177.9,186.52,177,185.03,175.3,3546440,646378033.1,3,2.9165,1,5.5505,0
2019/10/11,185.46,187.8,181.48,182.36,185.03,2175166,398342870.3,3,1.7888,1,-1.443,0
2019/10/14,183,186.5,179.04,180.01,182.36,3572315,646708263.7,3,2.9378,1,-1.2887,0
2019/10/15,179.99,184.5,177.58,179.85,180.01,2873360,520510111.7,3,2.363,1,-0.0889,0
2019/10/16,170,181,170,172.13,179.85,21295045,3694238071,3,4.2664,1,-4.2925,0
2019/10/17,175.58,180.75,173.85,179.28,172.13,17844827,3166150209,3,3.5752,1,4.1538,0
2019/10/18,180.34,182.99,176.82,176.9,179.28,7339430,1312318439,3,1.4704,1,-1.3275,0
2019/10/21,177.29,178.32,172.39,175.18,176.9,6549992,1149029828,3,1.3123,1,-0.9723,0
2019/10/22,176.33,177.4,174.1,176.01,175.18,5832718,1025043432,3,1.1686,1,0.4738,0
2019/10/23,176.2,176.42,174,174.87,176.01,2932039,514386697.1,3,0.5874,1,-0.6477,0
2019/10/24,175,175.48,169.9,171.91,174.87,4464323,767388391.6,3,0.8944,1,-1.6927,0
2019/10/25,172.1,177,171.1,176.29,171.91,5575139,976188184.8,3,1.117,1,2.5478,0
2019/10/28,176,176.99,172.01,176.2,176.29,5938603,1043254851,3,1.1898,1,-0.0511,0
2019/10/29,176.76,179.99,175.71,178.58,176.2,8588487,1535212479,3,1.7207,1,1.3507,0
2019/10/30,180.9,181.7,178,179.16,178.58,8087882,1460671386,3,1.6204,1,0.3248,0
2019/10/31,180.99,181.15,176.53,178,179.16,6209446,1118680228,3,1.244,1,-0.6475,0
2019/11/1,178.98,180.23,178.2,179.8,178,6713357,1206795819,3,1.345,1,1.0112,0
2019/11/4,181.22,190.5,180.31,188.1,179.8,12630911,2349860128,3,2.5306,1,4.6162,0
2019/11/5,189.28,193.69,187.58,192.95,188.1,7057668,1345741536,3,1.414,1,2.5784,0
2019/11/6,192.81,192.88,188.67,189.31,192.95,4924101,936313292.3,3,0.9865,1,-1.8865,0
2019/11/7,190,195.31,189.31,195,189.31,5259908,1020753586,3,1.0538,1,3.0057,0
2019/11/8,196.55,196.6,193.02,194.46,195,3790478,738919178.9,3,0.7594,1,-0.2769,0
